SALEPRICE,CONSTYR,LOTSQFT,CALC_ACRES,LANDVAL1,IMPVAL,ZIPCODE,SALEDATE,SALETYPE
355000,1997,1347,0,31500,44073,891290000,20260501,R
350000,1997,1400,0,30100,45929,0,20260501,U
279500,2005,1188,0,21350,46710,926300000,20260501,R
310000,2005,1343,0,21350,51155,891560000,20260501,U
360000,2016,1593,0,25900,84967,891490000,20260501,R
1038604,1996,1621,0,31500,50954,852610000,20260501,M
320000,2006,1337,0,28700,52300,891290000,20260501,U
385000,2007,1813,0,29050,75875,891490000,20260501,R
236734,2003,1380,0,28350,54308,891290000,20260501,A
385000,2005,1529,0,28700,65692,891490000,20260501,R
385000,2007,1763,0,28700,79298,891490226,20260501,U
387000,2004,1528,0,26600,65625,926911905,20260501,U
379900,2007,1497,0,28350,67363,891310000,20260501,R
415000,2006,1866,0,33950,76457,891290000,20260501,R
385000,2004,1590,0,30800,65733,890310000,20260501,U
457000,2006,2199,0,32900,93103,891290000,20260501,R
439000,2014,2006,0,32200,96098,891660000,20260501,U
350000,2007,1483,0,26600,64916,891080000,20260501,R
504000,2013,2334,0,33250,113756,913500000,20260501,U
390000,1993,1423,0,33600,44833,891280000,20260501,U
250566,1998,1124,0,36400,51298,906503905,20260501,A
280000,1982,918,0,22750,20894,891100000,20260501,R
1038604,2005,1669,0,32200,76287,852610000,20260501,M
360000,1994,1259,0,33600,39433,891290000,20260501,U
400000,1996,1478,0,35000,50286,891280000,20260501,R
435000,1991,1806,0,29400,49040,0,20260501,R
217529,2004,1850,0,33600,80510,891430000,20260501,R
409000,2012,1518,0,34650,86798,891660000,20260501,R
372000,1989,1328,0,35350,41821,906310000,20260501,U
470000,2001,1678,0,57750,63063,891380000,20260501,R
495000,2004,1708,0,60200,73524,891170000,20260501,R
712500,2013,1962,0,67900,126650,891350000,20260501,R
390000,1997,1211,0,33250,47839,891300000,20260501,R
468000,2014,2545,0,34650,121057,890520000,20260501,R
460000,2013,1930,0,32200,98619,891660000,20260501,R
435000,1999,1284,0,50750,52426,891350000,20260501,R
358800,1986,1389,0,39200,34643,891170000,20260501,R
445000,1996,1690,0,40600,53759,891170000,20260501,R
525000,1998,2547,0,45150,80003,891470000,20260501,R
239577,1997,1500,0,33250,50602,891290000,20260501,A
550000,2004,2137,0,64400,84282,891380000,20260501,U
515000,2003,1675,0,54600,65328,917107376,20260501,U
330000,1999,1238,0,32200,47906,891290000,20260501,R
488888,1996,2307,0,40600,68741,891170000,20260501,R
344500,1990,1402,0,33250,41829,891454540,20260501,U
355000,1989,1708,0,34300,49223,891290000,20260501,R
399500,2000,1492,0,35700,61772,891290000,20260501,R
455000,2004,1954,0,33600,84520,891430000,20260501,F
548000,1989,1991,0,39900,56297,891170000,20260501,U
258283,1993,1870,0,35700,54092,280360000,20260501,A
370000,2002,1163,0,27650,50475,891250000,20260501,U
165300,1982,1056,0,19600,10122,891150000,20260501,T
251000,1994,1220,0,25900,39801,902780000,20260501,T
461000,1999,1376,0,45850,57037,891176951,20260501,U
440000,2005,1863,0,32200,83222,891490000,20260501,U
500000,2017,2203,0,38850,113764,891660000,20260501,R
440000,1999,1928,0,32550,62209,891310000,20260501,R
400000,1984,1180,0,24150,30572,891080000,20260501,R
500000,1997,1606,0,50050,53918,891440000,20260501,R
350000,1985,1215,0,28000,31174,891080000,20260501,R
435000,1985,1250,0,40250,36092,891170000,20260501,R
355000,1997,1295,0,25200,45899,891060000,20260501,R
315240,2001,2086,0,35000,74102,902670000,20260501,P
336000,1995,1633,0,35700,52012,891490000,20260501,R
535000,1999,1851,0,50050,70799,891177501,20260501,R
390000,2006,1327,0,34300,70600,891490000,20260501,R
389000,2000,1527,0,30100,61126,891430000,20260501,R
381000,1999,1410,0,35000,56685,891300000,20260501,R
440000,2006,2305,0,39200,86756,890310000,20260501,R
492500,1990,1950,0,40950,53869,891287172,20260501,U
400000,1996,1582,0,40600,55187,917090000,20260501,U
249000,1988,1609,0,23450,38978,891230000,20260501,R
500000,1998,1682,0,49700,60796,891480000,20260501,R
442000,2007,1714,0,35350,86421,890850000,20260501,R
510000,2001,2220,0,35700,82100,891310000,20260501,R
715000,2007,2483,0,70350,119334,891380000,20260501,R
790000,2005,2901,0,69937,158524,891350000,20260501,U
370100,1993,1487,0,44450,48821,891340000,20260501,U
443000,2008,1993,0,33950,87557,891491673,20260501,R
466000,2004,2322,0,33250,86121,891310000,20260501,R
420000,2001,1870,0,35000,68503,891300000,20260501,R
360000,1994,1254,0,33600,40332,891070000,20260501,R
387000,2004,1681,0,35700,81119,891310000,20260501,R
415000,1998,1588,0,31150,59391,891310000,20260501,R
420000,1993,1816,0,35700,56774,891170000,20260501,R
325000,1996,1230,0,25200,48060,910300000,20260501,R
465000,2001,1630,0,39550,65134,891440000,20260501,R
340000,1993,1533,0,33250,49730,891454559,20260501,U
405000,1996,1307,0,33250,48698,923540000,20260501,R
402500,1995,1170,0,33950,43693,891290000,20260501,R
525000,2000,2196,0,39900,95712,891170000,20260501,U
319000,1999,1173,0,24500,50139,923070000,20260501,U
440000,2004,1983,0,36050,80764,891312654,20260501,U
600000,2003,1803,0,66150,80668,891357847,20260501,R
405000,2003,1673,0,33250,69623,891310000,20260501,U
528000,1997,2155,0,43400,73638,891290000,20260501,R
375000,2001,1220,0,33950,53010,891080000,20260501,R
669000,2003,1884,0,62650,80927,891380000,20260501,U
